load word2vec finished
C:\Users\billy\anaconda3\envs\python38\lib\site-packages\torch\nn\modules\rnn.py:58: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.3 and num_layers=1
0 2660 0.07443609833717346 0.75 2021-03-14 14:18:18.294633
0 2670 0.07687589526176453 0.65625 2021-03-14 14:18:21.347634
0 2680 0.07097070664167404 0.6875 2021-03-14 14:18:24.427634
0 2690 0.07837925851345062 0.75 2021-03-14 14:18:27.568636
0 2700 0.0815325528383255 0.625 2021-03-14 14:18:30.644633
0 2710 0.08143100142478943 0.65625 2021-03-14 14:18:33.745635
0 2720 0.07762191444635391 0.5625 2021-03-14 14:18:36.853634
0 2730 0.07229001820087433 0.6875 2021-03-14 14:18:39.966636
0 2740 0.0781463161110878 0.65625 2021-03-14 14:18:43.066635
0 2750 0.07422319054603577 0.71875 2021-03-14 14:18:46.214635
0 2760 0.07618334144353867 0.71875 2021-03-14 14:18:49.338635
0 2770 0.07540896534919739 0.78125 2021-03-14 14:18:52.436635
0 2780 0.06047827750444412 0.875 2021-03-14 14:18:55.535634
0 2790 0.09410571306943893 0.59375 2021-03-14 14:18:58.574635
0 2800 0.08186079561710358 0.59375 2021-03-14 14:19:01.705635
0 2810 0.06338824331760406 0.8125 2021-03-14 14:19:04.780634
0 2820 0.07491414248943329 0.71875 2021-03-14 14:19:07.929634
0 2830 0.0821552723646164 0.65625 2021-03-14 14:19:11.130634
0 2840 0.07477325201034546 0.6875 2021-03-14 14:19:14.346635
0 2850 0.08490289747714996 0.59375 2021-03-14 14:19:17.453635
0 2860 0.07575589418411255 0.6875 2021-03-14 14:19:20.588634
0 2870 0.09640795737504959 0.59375 2021-03-14 14:19:23.675635
0 2880 0.07562686502933502 0.6875 2021-03-14 14:19:26.774636
0 2890 0.07739590853452682 0.625 2021-03-14 14:19:29.926480
0 2900 0.0747716873884201 0.75 2021-03-14 14:19:33.035479
0 2910 0.07645849883556366 0.71875 2021-03-14 14:19:36.178479
0 2920 0.06822547316551208 0.75 2021-03-14 14:19:39.298479
0 2930 0.054029740393161774 0.84375 2021-03-14 14:19:42.374484
0 2940 0.07481873780488968 0.71875 2021-03-14 14:19:45.488480
0 2950 0.06150209903717041 0.8125 2021-03-14 14:19:48.584480
0 2960 0.07000187784433365 0.6875 2021-03-14 14:19:51.728479
0 2970 0.08299659192562103 0.71875 2021-03-14 14:19:54.861480
0 2980 0.07551497220993042 0.625 2021-03-14 14:19:57.996480
0 2990 0.068126380443573 0.75 2021-03-14 14:20:01.050479
0 3000 0.08045467734336853 0.5625 2021-03-14 14:20:04.156481
test 0.5990384615384615 2021-03-14 14:21:13.829481
0 3010 0.08124098181724548 0.6875 2021-03-14 14:21:16.958480
0 3020 0.06799700856208801 0.6875 2021-03-14 14:21:20.100479
0 3030 0.06483545899391174 0.75 2021-03-14 14:21:23.188481
0 3040 0.0883464589715004 0.53125 2021-03-14 14:21:26.280480
